dataset,caseId,globalCaseId,name,bucket,humanRangeText,age,MPG,starterShare,valueNoPot,contractValue,currentTier,combinedTier,responsibleModule,currentPointM,combinedPointM,currentGapM,combinedGapM,combinedDirection,combinedSevere,combinedRangeText,combinedRangeOverlapsHuman,classification,notes
validation20,V20-10,,Jason Preston,low_end_starter_good_rotation,$24.00M-$29.00M,26,31.573,1,59.269,59.287,LOW_END_STARTER,LOW_END_STARTER,none,16.86,16.86,7.14,7.14,too_low,no,$9.28M-$18.56M,no,first_layer_gap_possible; special_archetype_issue; needs_manual_review,
validation20,V20-06,,Isaiah Jackson,young_proven_young_starter,$40.00M-$46.40M,23,31.244,1,64.566,65.518,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,none,33.48,33.48,6.52,6.52,too_low,no,$26.29M-$34.80M,no,first_layer_gap_possible; special_archetype_issue; needs_manual_review,
boundary40,G-03,B40-27,OG Anunoby,solid_starter,$12.00M-$18.00M,28,29.658,1,61.251,60.639,LOW_END_STARTER,SOLID_STARTER,1B-B,16.03,24.17,0,6.17,too_high,no,$18.56M-$26.29M,no,human_range_maybe_low_or_high; special_archetype_issue; needs_manual_review,
boundary40,F-01,B40-21,Shaedon Sharpe,low_end_starter,$20.00M-$30.00M,22,28.969,1,56.8,57.916,LOW_END_STARTER,LOW_END_STARTER,none,15.02,14.85,4.98,5.15,too_low,no,$9.28M-$18.56M,no,first_layer_gap_possible; special_archetype_issue; needs_manual_review,
boundary40,H-02,B40-30,Ben Simmons,good_high_starter,$30.00M-$35.00M,29,31.208,1,64.314,63.851,LOW_END_STARTER,SOLID_STARTER,1B-B,17.03,24.99,12.97,5.01,too_low,no,$18.56M-$26.29M,no,second_layer_range_issue; special_archetype_issue; needs_manual_review,already upgraded by first-layer module; inspect range/placement before adding 1C
boundary40,E-02,B40-18,Nikola Jović,high_end_rotation_sixth_man,$20.00M-$30.00M,22,21.897,0.049,56.669,57.908,YOUNG_UPSIDE_SUSPECT,HIGH_END_ROTATION,1A,5.73,15.45,14.27,4.55,too_low,no,$10.83M-$18.56M,no,second_layer_range_issue; needs_manual_review,already upgraded by first-layer module; inspect range/placement before adding 1C
boundary40,G-02,B40-26,Isaiah Stewart,solid_starter,$20.00M-$25.00M,24,30.608,1,60.146,60.762,LOW_END_STARTER,LOW_END_STARTER,none,15.62,15.46,4.38,4.54,too_low,no,$9.28M-$18.56M,no,first_layer_gap_possible; special_archetype_issue; needs_manual_review,
validation20,V20-07,,Paolo Banchero,young_proven_young_starter,$38.00M-$44.00M,23,32.946,1,63.637,64.104,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,none,33.53,33.53,4.47,4.47,too_low,no,$26.29M-$34.80M,no,first_layer_gap_possible; special_archetype_issue; needs_manual_review,
validation20,V20-12,,Jared Butler,low_end_starter_good_rotation,$23.00M-$28.00M,25,32.032,1,60.744,60.958,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,none,32.46,32.46,4.46,4.46,too_high,no,$26.29M-$34.80M,yes,human_range_maybe_low_or_high; special_archetype_issue; needs_manual_review,
validation20,V20-11,,Anthony Davis,low_end_starter_good_rotation,$24.00M-$28.00M,32,30.26,1,61.401,60.811,LOW_END_STARTER,SOLID_STARTER,1B-B,15.4,23.66,8.6,0.34,too_low,no,$18.56M-$26.29M,yes,near_boundary_minor_miss; third_layer_point_placement_issue; special_archetype_issue; needs_manual_review,minor gap; do not treat as strong first-layer evidence
