tier,currentScoreTierGate,candidateScoreTierGate,hardVeto,supportSignals,supportThreshold,rangeMapping,changeType,notes
SUPERSTAR_MAX,value>=70; valueNoPot>=67; getContractValue>=68; fullTimeStarter; superstarProduction; comp_usage>=0.7,kept current strict SUPERSTAR_MAX gate before candidate lanes,unchanged current all-AND gate,current strict superstar gate,n/a,100-100% eligible max,unchanged,top exact-max gate intentionally not relaxed
STAR_NEAR_MAX,getContractValue>=65; valueNoPot>=65; fullTimeStarter; starProduction,kept current strict STAR_NEAR_MAX gate before candidate lanes,unchanged current all-AND gate,current strict star/near-max gate,n/a,88-100% eligible max,unchanged,near-max gate intentionally not relaxed
HIGH_IMPACT_STARTER,no current tier; current non-star starters usually fall into YOUNG_PROVEN_STARTER or LOW_END_STARTER,candidate-only high-current-impact starter lane,GP>=40; MPG>=25; valueNoPot>=55; not PER<8 && BPM<-3; not TS<.49 && OBPM<-2,starter-like role 1.25; contractValue>=60 1; valueNoPot>=59 1; current impact production 1; connector/defense 1,>=3.25 support points,17-22.5% cap (candidate-only),new / relaxed vs current starter gates,main inflation source; removes age hard blocker and allows weighted support combinations
YOUNG_PROVEN_STARTER,age<=26; establishedStarter; getContractValue>=59; value>=60; highProduction or BPM>=1 or EWA>=5,young productive starter/large-rotation lane,GP>=35; MPG>=18; valueNoPot>=50; not PER<8 && BPM<-3,age<=26; pot>=65 or premium>=4; strong rotation/starter role; contract/value support; production support; portable skill support,>=4.25 support points,17% cap-22.5% cap,relaxed / broadened,"allows large rotation and potential/value packages, but many current YOUNG_PROVEN were absorbed by HIGH_IMPACT first"
SOLID_STARTER,no current tier between LOW_END_STARTER and YOUNG_PROVEN_STARTER,candidate-only bridge starter lane,GP>=40; MPG>=22; valueNoPot>=53; not PER<8 && BPM<-3,starter-like role 1.25; valueNoPot>=55; contractValue>=54; neutral/positive production; non-scoring impact; creator/scorer support 0.75,>=3.75 support points,12-17% cap (candidate-only),new / broad bridge,"bridge itself may be useful, but threshold/veto admitted 29 all-active players"
HIGH_END_ROTATION,no current high-end rotation tier,"candidate-only scorer/creator, young productive, connector, or shooting lane",GP>=35; MPG>=16; valueNoPot>=50; not PER<8 && BPM<-3,strong rotation; creator/scorer; young productive rotation; portable shooting; connector/defense; value support,>=3.25 support points,7-12% cap (candidate-only),new,"low count in all-active, but still moves some minimums by many tier steps"
LOW_END_STARTER,establishedStarter; valueNoPot>=56; getContractValue>=55; PER>=13 or EWA>=2 or VORP>=0.2,softened starter-ish lane,GP>=35; MPG>=20; valueNoPot>=51; not PER<8 && BPM<-3,role>=20 MPG; starterShare>=.3 or GS>=15; valueNoPot>=52; contractValue>=52; some production,>=3.5 support points,6% cap-12% cap,relaxed,creates MINIMUM_LEVEL -> LOW_END_STARTER expansion
SPECIALIST_ROTATION,shootingSpecialist; valueNoPot>=50; GP>=50; MPG>=10,portable shooting/specialist lane,GP>=35; MPG>=10,3pt composite; 3 skill margin; TS>=.55; role minutes; usage/volume; valueNoPot>=50,>=3.5 support points,3.5% cap-5.5% cap,relaxed / broadened,drops GP from 50 to 35 and uses a weighted shooting package
YOUNG_UPSIDE_SUSPECT,youngUpside; not establishedStarter,kept current gate only after candidate middle lanes fail,current gate,current scoreTier reason,n/a,2.5% cap-4.5% cap,kept but shadowed by earlier candidate lanes,count falls because candidate middle lanes run first
VETERAN_ROTATION_GUARD,age>=28; creatorGuard; valueNoPot>=52; PER>=13; EWA>=2,kept current gate only after candidate middle lanes fail,current gate,current scoreTier reason,n/a,4% cap-6% cap,kept but shadowed by earlier candidate lanes,count falls sharply because high/solid lanes run first
LOW_ROTATION_PLUS,smallButRealRole; age<30; valueNoPot>=50; not poorProduction,current LOW_ROTATION_PLUS preserved; then new fallback for everyone else,fallback has no GP/MPG/value hard veto beyond support threshold; only one signal checks poor production,real role; valueNoPot>=49; not extreme poor production,>=2.5 of 3 support points,2% cap-3.5% cap,relaxed fallback,major MINIMUM_LEVEL -> LOW_ROTATION_PLUS source
VETERAN_MINIMUM_PLUS,age>=30; frontcourt defense/rebound big; PER>=12; valueNoPot>=50,kept current gate only after candidate middle lanes fail,current gate,current scoreTier reason,n/a,player minimum-3.5% cap,kept but shadowed,small count drop because earlier candidate lanes capture some players
MINIMUM_LEVEL,fallthrough after role/production/age/archetype checks,fallthrough after candidate middle lanes plus low-rotation fallback fail,"reported fallback vetoes MPG<8, GP<25, valueNoPot<49, poor production; not used as an entry gate",none,n/a,1x-1.15x player minimum,tightened fallthrough by broad upstream lanes,"count falls from broad upward capture, not from a direct minimum rule"
