pid,name,age,pos,targetTierOriginal,targetTierComparable,targetRangeText,modelTier,modelRangeText,modelCapRangeText,modelYears,hitStatus,missReason,modelReason,normalNoOptionContractAmount,normalNoOptionContractYears,normalNoOptionContractCapPct,rawContractAmount,rawContractYears,rawContractOption,minContractForPlayer,eligibleMax,estimatedDemandNoRandom,getContractValue,valueNoPot,value,potentialPremium,GP,MPG,starterShare,PER,EWA,VORP,BPM,OBPM,DBPM,On-Off,USG,AST%,TRB%,DRB%,ORB%,STL%,BLK%,comp_usage,comp_passing,comp_dribbling,comp_shootingThreePointer,comp_rebounding,comp_offensiveRebounding,comp_defensiveRebounding,comp_defenseInterior,comp_defensePerimeter,comp_blocking,comp_athleticism,skill_3_margin,skill_Ps_margin,skill_R_margin,skill_Di_margin,skill_Dp_margin,skill_A_margin
1294,Sam Hauser,28,F,SPECIALIST_ROTATION,SPECIALIST_ROTATION,$5.00M-$7.00M,SPECIALIST_ROTATION,$5.41M-$8.51M,3.5%-5.5%,,HIT,,rotation sample with strong shootingThreePointer composite and 3 skill margin,3160,3,0.020433,2870,3,player,2510,38663,10530,52.402836,52.932157,50.285549,-2.646608,74,13.842551,0.094595,14.869057,1.577418,0.621237,0.390099,1.232675,-0.842576,0.919137,17.609198,5.920676,7.505691,11.544011,3.238487,1.217749,0.494939,0.553077,0.505263,0.535,0.756364,0.552692,0.547227,0.544298,0.46,0.477778,0.451111,0.485333,0.156364,-0.134737,-0.063462,-0.116154,-0.141111,-0.152667
361,Skal Labissière,29,FC,MINIMUM_LEVEL,MINIMUM_LEVEL,,MINIMUM_LEVEL,$3.37M-$3.88M,2.2%-2.5%,,HIT,,"falls through to minimum after role, production, age, and archetype checks",4160,3,0.026899,3780,3,player,3370,46395,9560,51.834268,52.210181,49.07757,-3.132611,47,11.548763,0.042553,9.349305,-0.367412,-0.320113,-4.324218,-3.627503,-0.696714,-16.916458,16.847354,7.160717,12.480721,16.580256,8.148833,1.060669,2.957796,0.5,0.489474,0.465,0.389091,0.604423,0.592101,0.594628,0.573077,0.496667,0.561111,0.532667,-0.200909,-0.140526,-0.005577,0.003077,-0.113333,-0.097333
225,Rudy Gobert,33,C,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,$3.71M,VETERAN_MINIMUM_PLUS,$3.71M-$5.41M,2.4%-3.5%,,HIT,,older frontcourt player with rebound/defense composite value but limited role/value ceiling,3830,3,0.024766,3830,3,,3710,54128,8980,51.49293,51.992054,47.83269,-4.159364,81,10.514843,0.024691,13.379963,0.942368,0.25697,-0.810946,-1.400272,0.589326,-10.297234,11.134813,7.795709,17.67554,23.59063,11.425195,1.070281,4.166865,0.403077,0.495263,0.37,0.117273,0.711154,0.664454,0.689835,0.642308,0.452222,0.612222,0.508667,-0.482727,-0.144737,0.095,0.066154,-0.166667,-0.129333
8,Jarrett Allen,27,C,STAR_NEAR_MAX,STAR_NEAR_MAX,$42.00M-$46.40M,STAR_NEAR_MAX,$40.83M-$46.40M,26.4%-30.0%,,HIT,,contractValue/valueNoPot clear star threshold with full starter role and strong EWA/VORP/BPM,33110,5,0.214096,30100,5,player,3360,46395,34140,66.221241,66.542822,64.93492,-1.607901,82,32.349896,1,21.59672,11.61031,4.542624,4.757362,2.958375,1.798987,11.342083,23.161143,15.845027,16.407047,23.393484,9.119831,2.059026,3.299251,0.616923,0.561579,0.56,0.511818,0.714423,0.713025,0.715868,0.703077,0.647778,0.643333,0.672667,-0.078182,-0.068421,0.104423,0.133077,0.037778,0.042667
1669,Alperen Şengün,23,C,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,$26.00M-$34.00M,YOUNG_PROVEN_STARTER,$26.29M-$34.80M,17.0%-22.5%,,HIT,,young established starter with BBGM contractValue/value and production support,18180,5,0.117556,18180,5,,2510,38663,24250,60.435513,59.623014,63.685507,4.062493,76,29.863945,1,17.56127,6.288444,1.811398,1.149273,0.911263,0.23801,3.421947,23.009137,20.00825,13.99561,21.013332,6.873372,1.572082,1.933869,0.623846,0.608421,0.555,0.461818,0.642308,0.611933,0.635537,0.564615,0.547778,0.516667,0.540667,-0.148182,-0.041579,0.02,-0.017692,-0.08,-0.105333
906,Ayo Dosunmu,25,SG,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,$28.00M-$34.00M,YOUNG_PROVEN_STARTER,$26.29M-$34.80M,17.0%-22.5%,,HIT,,young established starter with BBGM contractValue/value and production support,22720,5,0.146912,20650,5,player,2510,38663,29360,63.422651,63.195004,64.333242,1.138239,54,35.999999,1,20.209541,7.512576,4.470532,7.062945,4.268784,2.794161,6.959063,21.524768,36.583211,9.514523,15.136172,4.10292,2.630878,0.98151,0.603846,0.624737,0.61,0.651818,0.601346,0.611849,0.611983,0.574615,0.621111,0.531111,0.601333,0.071818,0.004737,-0.0025,0.010769,0.02,-0.020667
1479,Jaden McDaniels,25,F,LOW_END_STARTER,LOW_END_STARTER,$13.00M-$20.00M,LOW_END_STARTER,$9.28M-$18.56M,6.0%-12.0%,,HIT,,starter role and adequate BBGM current value with at least neutral production support,12430,5,0.080375,12430,5,,2720,38663,21360,58.743577,58.50138,59.712366,1.210985,76,28.294194,1,16.274317,4.514099,0.697282,-0.720457,-0.712429,-0.008028,-0.47313,18.987308,6.177162,12.896346,18.084187,7.986714,2.090817,4.204548,0.564615,0.522105,0.535,0.467273,0.624231,0.622185,0.618595,0.609231,0.603333,0.606667,0.6,-0.132727,-0.117895,0.008077,0.033077,-0.015556,-0.038
1409,Vit Krejci,25,G,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,$3.00M-$5.00M,LOW_ROTATION_PLUS,$3.09M-$5.41M,2.0%-3.5%,,HIT,,small but real regular-season role with non-poor production and BBGM current value above replacement,3150,3,0.020369,3150,3,,2720,38663,8730,51.350974,51.148316,52.161607,1.013292,81,7.820161,0,14.782539,1.016654,0.563481,1.541368,1.489185,0.052183,3.561669,16.167155,29.001507,6.911062,11.744154,1.909746,0.598089,0.675059,0.512308,0.631053,0.565,0.526364,0.487885,0.479076,0.483967,0.44,0.467778,0.476667,0.466667,-0.063636,0.001053,-0.122115,-0.13,-0.142222,-0.163333
65,Eric Bledsoe,36,G,VETERAN_MINIMUM_LEVEL,MINIMUM_LEVEL,,MINIMUM_LEVEL,$3.71M-$4.27M,2.4%-2.8%,,HIT,,"falls through to minimum after role, production, age, and archetype checks",3960,2,0.025606,3960,2,,3710,54128,8180,51.028479,51.585603,46.942899,-4.642704,24,10.440747,0,9.604406,-0.114253,-0.026289,-2.413982,-3.172743,0.758761,6.953797,15.263871,21.175569,6.858896,11.311122,2.194481,2.087587,0.343834,0.503846,0.614211,0.545,0.460909,0.456346,0.442605,0.465289,0.503077,0.475556,0.426667,0.439333,-0.159091,-0.045789,-0.172115,-0.085385,-0.161111,-0.214667
1363,Keon Johnson,23,SG,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,$4.00M-$6.00M,YOUNG_UPSIDE_SUSPECT,$3.87M-$6.96M,2.5%-4.5%,,HIT,,young player with pot/premium upside but not enough starter role or production certainty,7510,4,0.048561,7510,4,,2510,38663,14490,55.459399,54.008809,59.189488,5.180678,59,22.443701,0.610169,10.381176,-0.062624,-0.307294,-2.920366,-3.079735,0.15937,11.483707,15.63266,9.804694,8.564188,13.139851,4.215103,2.111111,3.906894,0.48,0.543684,0.565,0.417273,0.435962,0.514874,0.463471,0.526154,0.621111,0.558889,0.644,-0.152727,-0.066316,-0.161731,-0.031538,0.028889,0.03
