pid,name,team,pos,height_in,ratings_hgt,ratings_diq,ovr,valueNoPot,skills,gp,mpg,dbpm,obpm,bpm,pm100,onOff100,stl_per36,blk_per36,trb_per36,old_category,v2_category,why_v2_category,credibility_flag
65,Eric Bledsoe,PHO,G,73,41,65,55,51.60,,24,10.44,0.7588,-3.1727,-2.4140,10.25,6.95,1.580,0.144,4.60,credible_positive_dbpm_small_guard,B_credible_positive_dbpm_small_guard,"DBPM > 0, supported by credible defense ratings (DIQ > 60 or Dp present)",CREDIBLE
129,Quinn Cook,BKN,PG,73,28,47,43,41.77,,30,5.65,1.7528,2.8396,4.5924,4.48,-0.67,0.850,0.212,3.61,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
146,Stephen Curry,GSW,PG,74,37,53,61,57.63,"3,Ps,V",73,30.73,-0.1476,3.3162,3.1686,-0.06,2.12,0.578,0.193,6.42,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
189,Jawun Evans,MIA,PG,72,30,57,57,53.34,Ps,24,20.82,0.8523,-0.6990,0.1533,-3.04,-10.64,1.225,0.360,2.95,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
200,Yogi Ferrell,PHI,G,72,29,54,61,56.59,"3,Ps",62,21.18,1.1620,2.2937,3.4558,10.14,4.79,1.069,0.247,3.59,suspicious_positive_dbpm_small_guard,A1_yogi_type_positive_context,"DBPM > 0, but ratings weak (DIQ <= 60, no Dp). Supported by positive PM100 and OnOff",SUSPICIOUS_CONTEXT_SUPPORTED
202,Bryn Forbes,ATL,SG,74,29,45,54,50.69,3,57,5.47,-1.6590,-2.1607,-3.8196,-3.36,-2.81,1.039,0.000,2.89,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
379,Damian Lillard,POR,PG,74,35,42,57,55.06,Ps,79,18.73,0.5913,3.3976,3.9889,2.80,7.81,0.876,0.097,4.79,suspicious_positive_dbpm_small_guard,A1_yogi_type_positive_context,"DBPM > 0, but ratings weak (DIQ <= 60, no Dp). Supported by positive PM100 and OnOff",SUSPICIOUS_CONTEXT_SUPPORTED
517,London Perrantes,DAL,PG,74,43,54,61,56.25,,81,26.47,0.7953,-0.0621,0.7332,0.29,1.88,0.957,0.403,5.34,suspicious_positive_dbpm_small_guard,A1_yogi_type_positive_context,"DBPM > 0, but ratings weak (DIQ <= 60, no Dp). Supported by positive PM100 and OnOff",SUSPICIOUS_CONTEXT_SUPPORTED
567,Terry Rozier,BOS,G,73,34,68,67,61.78,"3,Ps",78,33.77,1.8922,2.5352,4.4273,2.96,6.29,1.654,0.287,7.49,credible_positive_dbpm_small_guard,B_credible_positive_dbpm_small_guard,"DBPM > 0, supported by credible defense ratings (DIQ > 60 or Dp present)",CREDIBLE
578,Dennis Schröder,ATL,G,73,28,50,56,53.65,Ps,82,20.28,0.7076,0.5294,1.2369,-0.83,-0.10,1.104,0.130,4.42,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
594,Dennis Smith Jr.,PHO,PG,74,33,56,59,54.54,Ps,34,19.41,1.2980,0.0117,1.3097,5.57,3.26,1.527,0.055,4.53,suspicious_positive_dbpm_small_guard,A1_yogi_type_positive_context,"DBPM > 0, but ratings weak (DIQ <= 60, no Dp). Supported by positive PM100 and OnOff",SUSPICIOUS_CONTEXT_SUPPORTED
634,Tyler Ulis,MEM,PG,70,20,54,57,54.30,Ps,82,20.19,0.5431,2.3202,2.8633,4.06,0.05,1.435,0.304,3.54,suspicious_positive_dbpm_small_guard,A1_yogi_type_positive_context,"DBPM > 0, but ratings weak (DIQ <= 60, no Dp). Supported by positive PM100 and OnOff",SUSPICIOUS_CONTEXT_SUPPORTED
639,Fred VanVleet,TOR,G,72,32,58,62,58.11,"3,Ps",69,23.98,0.3109,3.3495,3.6605,1.45,-0.19,1.066,0.239,4.63,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
646,Kemba Walker,CHA,PG,72,27,45,57,54.24,Ps,63,19.56,-0.4813,0.4175,-0.0638,-1.21,-6.12,1.168,0.058,3.48,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
651,Derrick Walton,WAS,PG,72,37,49,58,53.24,,66,27.27,-0.7450,-1.6323,-2.3773,1.43,5.74,1.160,0.180,4.44,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
716,Jose Alvarado,DET,PG,72,22,52,53,50.05,,80,11.40,-1.7011,-1.4599,-3.1610,4.97,2.35,1.066,0.197,1.97,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
719,Cole Anthony,ORL,PG,74,33,59,61,57.82,,54,30.11,0.9656,1.8218,2.7873,-10.35,-1.07,1.793,0.199,5.49,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
751,Reece Beekman,ATL,PG,73,34,50,46,43.79,,20,5.36,-3.1977,-8.1838,-11.3815,-6.66,-6.05,1.342,0.000,3.02,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
772,Jordan Bone,ORL,PG,74,35,55,62,58.17,"B,Ps",56,29.98,0.7589,1.2066,1.9655,-8.43,2.25,1.544,0.214,4.31,suspicious_positive_dbpm_small_guard,A2_box_proxy_positive_dbpm_negative_context,"DBPM > 0, but ratings weak. Contradicted by negative/neutral PM100 or OnOff",SUSPICIOUS_BOX_PROXY_CONFLICT
778,Ky Bowman,MIN,PG,73,26,54,58,54.12,Ps,71,33.00,-0.0971,0.1598,0.0627,-5.45,1.69,1.291,0.338,3.12,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
812,Jared Butler,NOL,G,75,30,64,66,60.76,"3,B,Ps,V",57,32.03,0.6474,2.0805,2.7280,1.07,2.24,2.090,0.177,2.98,credible_positive_dbpm_small_guard,B_credible_positive_dbpm_small_guard,"DBPM > 0, supported by credible defense ratings (DIQ > 60 or Dp present)",CREDIBLE
825,Devin Carter,MIA,PG,74,36,47,51,48.01,,47,8.30,-1.3153,-4.5197,-5.8350,3.29,-1.04,1.015,0.277,4.52,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
836,Kennedy Chandler,TOR,PG,72,30,39,33,32.27,,0,0.00,-3.2974,-6.2719,-9.5694,0.00,-1.56,0.000,0.000,0.00,expected_negative_small_guard,C_expected_negative_small_guard,"DBPM <= 0, consistent with weak defense ratings",EXPECTED_NEGATIVE
